,animal_id_outcome,outcome_subtype,age_upon_outcome_(years),age_upon_outcome_age_group,outcome_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,intake_condition,age_upon_intake_(years),intake_year,time_in_shelter_days,Adoption
51128,A727739,Partner,0.0821917808219178,"(-0.025, 2.5]",2016-05,1 month,A727739,Cat,Domestic Shorthair Mix,Brown Tabby/White,Normal,0.0821917808219178,2016,1.0993055555555555,0
47578,A722791,Suffering,0.2465753424657534,"(-0.025, 2.5]",2016-03,2 months,A722791,Other,Opossum Mix,Black,Sick,0.1643835616438356,2016,1.1368055555555556,0
61952,A742373,Foster,0.2465753424657534,"(-0.025, 2.5]",2017-03,5 weeks,A742373,Cat,Siamese Mix,Lilac Point,Normal,0.0958904109589041,2017,59.70902777777778,1
28657,A697673,SCRP,1.0,"(-0.025, 2.5]",2015-02,1 year,A697673,Cat,Domestic Shorthair Mix,Brown Tabby/White,Normal,1.0,2015,0.9166666666666666,0
17708,A683073,Partner,5.0,"(2.5, 5.0]",2014-07,5 years,A683073,Cat,Domestic Shorthair Mix,White,Normal,5.0,2014,0.07777777777777778,0
78436,A766657,Foster,0.0821917808219178,"(-0.025, 2.5]",2018-03,4 weeks,A766657,Dog,Australian Cattle Dog Mix,Red Tick,Nursing,0.07671232876712329,2018,25.815972222222218,1
57206,A735597,Suffering,2.0,"(-0.025, 2.5]",2016-09,2 years,A735597,Other,Raccoon,Gray/Black,Sick,2.0,2016,0.004861111111111111,0
47315,A722413,Partner,3.0,"(2.5, 5.0]",2016-03,3 years,A722413,Dog,Chihuahua Shorthair Mix,Red/Tan,Normal,3.0,2016,5.290277777777779,0
35289,A706068,Partner,0.6575342465753424,"(-0.025, 2.5]",2015-06,7 months,A706068,Cat,Snowshoe Mix,Seal Point,Normal,0.5753424657534246,2015,5.06875,0
2530,A627019,Partner,3.0,"(2.5, 5.0]",2014-10,3 years,A627019,Dog,Labrador Retriever Mix,Tan/White,Normal,3.0,2014,0.015972222222222218,0
70380,A754265,Snr,0.2465753424657534,"(-0.025, 2.5]",2017-07,2 months,A754265,Cat,Domestic Shorthair Mix,Orange Tabby/White,Normal,0.1643835616438356,2017,4.03125,0
20854,A687130,Partner,0.019178082191780826,"(-0.025, 2.5]",2014-09,1 week,A687130,Dog,Labrador Retriever Mix,Brown/Black,Normal,0.019178082191780826,2014,0.1111111111111111,0
20482,A686640,Partner,1.0,"(-0.025, 2.5]",2014-08,1 year,A686640,Other,Guinea Pig,Brown/White,Normal,1.0,2014,4.889583333333333,0
39916,A712222,Suffering,5.0,"(2.5, 5.0]",2015-09,5 years,A712222,Cat,Domestic Shorthair Mix,Cream Tabby,Normal,5.0,2015,0.08472222222222223,0
7990,A669603,Suffering,0.3287671232876712,"(-0.025, 2.5]",2013-12,4 months,A669603,Cat,Siamese Mix,Flame Point,Injured,0.3287671232876712,2013,0.027777777777777776,0
41544,A714376,Foster,0.1643835616438356,"(-0.025, 2.5]",2015-12,4 weeks,A714376,Cat,Domestic Longhair Mix,Orange Tabby,Normal,0.07671232876712329,2015,47.86805555555557,1
26659,A694800,Partner,1.0,"(-0.025, 2.5]",2015-01,1 year,A694800,Dog,Chihuahua Shorthair,Black/White,Normal,1.0,2015,13.885416666666664,0
54389,A732037,Foster,3.0,"(2.5, 5.0]",2017-02,3 years,A732037,Cat,Domestic Medium Hair Mix,Black,Injured,3.0,2016,210.9645833333333,1
17883,A683260,Partner,6.0,"(5.0, 7.5]",2014-07,6 years,A683260,Dog,Australian Cattle Dog Mix,Blue Merle,Normal,6.0,2014,9.002083333333333,0
23796,A690905,Foster,0.2465753424657534,"(-0.025, 2.5]",2014-12,1 month,A690905,Cat,Domestic Shorthair Mix,Torbie,Normal,0.0821917808219178,2014,50.744444444444454,1
13323,A677490,Partner,0.07671232876712329,"(-0.025, 2.5]",2014-04,4 weeks,A677490,Cat,Domestic Shorthair Mix,Blue,Sick,0.07671232876712329,2014,2.8354166666666667,0
33267,A703654,Partner,2.0,"(-0.025, 2.5]",2015-05,2 years,A703654,Dog,Pit Bull Mix,Gray,Normal,2.0,2015,3.8819444444444446,0
7181,A668423,Partner,3.0,"(2.5, 5.0]",2014-12,2 years,A668423,Dog,Pit Bull Mix,Fawn,Normal,2.0,2014,40.12083333333333,0
59978,A739207,Foster,0.2465753424657534,"(-0.025, 2.5]",2017-02,1 month,A739207,Cat,Domestic Shorthair Mix,Lynx Point,Normal,0.0821917808219178,2016,70.88541666666667,1
14892,A679445,Partner,0.03835616438356165,"(-0.025, 2.5]",2014-05,2 weeks,A679445,Cat,Domestic Shorthair Mix,Calico,Normal,0.03835616438356165,2014,0.07152777777777777,0
32149,A702257,Partner,0.0821917808219178,"(-0.025, 2.5]",2015-05,4 weeks,A702257,Cat,Domestic Shorthair Mix,Black/White,Normal,0.07671232876712329,2015,13.995833333333335,0
65521,A747533,Partner,0.03835616438356165,"(-0.025, 2.5]",2017-04,2 weeks,A747533,Cat,Domestic Shorthair Mix,Brown Tabby/Black,Nursing,0.03835616438356165,2017,0.26319444444444445,0
511,A487470,Aggressive,9.0,"(7.5, 10.0]",2014-01,9 years,A487470,Dog,Labrador Retriever/Pit Bull,Black,Normal,9.0,2014,0.16944444444444445,0
40799,A713398,Partner,0.07671232876712329,"(-0.025, 2.5]",2015-10,4 weeks,A713398,Cat,Domestic Shorthair Mix,Black,Normal,0.07671232876712329,2015,2.0534722222222217,0
37949,A709724,Foster,0.1643835616438356,"(-0.025, 2.5]",2015-09,3 weeks,A709724,Cat,Domestic Shorthair Mix,Calico,Normal,0.05753424657534247,2015,46.87777777777778,1
13729,A678046,Partner,6.0,"(5.0, 7.5]",2014-05,6 years,A678046,Dog,Labrador Retriever/English Pointer,Black/White,Normal,6.0,2014,6.116666666666666,0
30162,A699793,Suffering,8.0,"(7.5, 10.0]",2015-04,8 years,A699793,Dog,Shih Tzu Mix,White/Gray,Normal,8.0,2015,10.015972222222222,0
45046,A719264,Foster,0.0821917808219178,"(-0.025, 2.5]",2016-03,1 week,A719264,Dog,Labrador Retriever Mix,Black/White,Normal,0.019178082191780826,2016,46.150694444444454,1
60962,A740829,Foster,0.2465753424657534,"(-0.025, 2.5]",2017-02,1 month,A740829,Cat,Domestic Medium Hair Mix,White/Brown Tabby,Injured,0.0821917808219178,2016,53.13472222222222,1
43552,A717183,SCRP,1.0,"(-0.025, 2.5]",2015-12,1 year,A717183,Cat,Domestic Shorthair Mix,Black,Normal,1.0,2015,11.167361111111115,0
22479,A689202,Rabies Risk,0.4931506849315068,"(-0.025, 2.5]",2014-10,6 months,A689202,Other,Bat Mix,Gray,Normal,0.4931506849315068,2014,0.8041666666666667,0
58886,A737748,Partner,0.0821917808219178,"(-0.025, 2.5]",2016-11,1 month,A737748,Cat,Domestic Shorthair Mix,Blue Tabby,Normal,0.0821917808219178,2016,7.008333333333334,0
51132,A727744,Partner,2.0,"(-0.025, 2.5]",2016-05,2 years,A727744,Dog,Labrador Retriever Mix,Chocolate,Normal,2.0,2016,5.441666666666667,0
24417,A691775,Partner,0.1643835616438356,"(-0.025, 2.5]",2014-11,1 month,A691775,Cat,Domestic Shorthair Mix,Orange Tabby,Normal,0.0821917808219178,2014,4.985416666666667,0
23810,A690927,Suffering,0.0821917808219178,"(-0.025, 2.5]",2014-10,1 month,A690927,Cat,Domestic Shorthair Mix,Black,Normal,0.0821917808219178,2014,0.02013888888888889,0
48279,A723815,Partner,6.0,"(5.0, 7.5]",2016-04,6 years,A723815,Dog,Dachshund,Brown Brindle,Normal,6.0,2016,2.1131944444444444,0
31460,A701441,Partner,0.4931506849315068,"(-0.025, 2.5]",2015-05,5 months,A701441,Dog,Labrador Retriever/German Shepherd,Brown,Normal,0.410958904109589,2015,12.854166666666664,0
35290,A706069,Foster,0.0821917808219178,"(-0.025, 2.5]",2015-07,1 month,A706069,Cat,Domestic Shorthair Mix,Brown Tabby,Normal,0.0821917808219178,2015,24.113194444444453,1
77455,A765056,Partner,0.0821917808219178,"(-0.025, 2.5]",2018-01,1 month,A765056,Dog,Anatol Shepherd/Great Pyrenees,Sable/White,Normal,0.0821917808219178,2018,2.1875,0
21660,A688154,Offsite,3.0,"(2.5, 5.0]",2014-12,3 years,A688154,Dog,Staffordshire Mix,Brown Brindle,Normal,3.0,2014,82.08888888888889,1
13296,A677462,Partner,0.0,"(-0.025, 2.5]",2014-04,0 years,A677462,Cat,Domestic Shorthair Mix,Blue,Normal,0.0,2014,0.09722222222222222,0
66230,A748686,Partner,0.03835616438356165,"(-0.025, 2.5]",2017-05,2 weeks,A748686,Cat,Domestic Shorthair Mix,Tortie,Normal,0.03835616438356165,2017,0.11875,0
