,animal_id_outcome,outcome_subtype,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_age_group,outcome_monthyear,animal_type,breed,color,intake_condition,age_upon_intake_(days),intake_month,time_in_shelter_days,Adoption
8909,A670859,SCRP,Neutered Male,730,"(-0.025, 2.5]",2014-01,Cat,Domestic Shorthair Mix,Orange Tabby,Normal,730,1,0.9145833333333332,0
13191,A677289,In Kennel,Intact Female,90,"(-0.025, 2.5]",2014-04,Dog,Beagle Mix,White/Brown,Sick,60,4,5.197916666666667,0
51289,A727962,Partner,Spayed Female,365,"(-0.025, 2.5]",2016-06,Dog,Shih Tzu,Cream,Injured,365,5,5.425000000000002,0
45264,A719539,Partner,Intact Female,7,"(-0.025, 2.5]",2016-01,Cat,Domestic Longhair Mix,Blue Tabby,Normal,0,1,7.2652777777777775,0
77393,A764970,Snr,Intact Male,1460,"(2.5, 5.0]",2018-01,Cat,Domestic Shorthair Mix,Black/Black,Normal,1460,1,4.238888888888889,0
30184,A699817,Rabies Risk,Unknown,365,"(-0.025, 2.5]",2015-04,Other,Bat Mix,Brown,Normal,365,4,0.0027777777777777783,0
28238,A696987,SCRP,Intact Male,1460,"(2.5, 5.0]",2015-02,Cat,Domestic Shorthair Mix,Brown Tabby,Normal,1460,2,0.9847222222222224,0
2304,A619742,Partner,Neutered Male,1825,"(2.5, 5.0]",2016-10,Dog,Irish Terrier Mix,Brown/Black,Normal,1825,10,11.102083333333335,0
9471,A671695,In Foster,Spayed Female,4015,"(10.0, 12.5]",2017-04,Dog,Pit Bull Mix,Blue/White,Normal,3650,8,263.1243055555556,0
5698,A666307,Partner,Intact Female,30,"(-0.025, 2.5]",2013-10,Dog,Yorkshire Terrier Mix,Black/Tan,Normal,30,10,0.2534722222222222,0
32369,A702509,Suffering,Intact Male,150,"(-0.025, 2.5]",2015-05,Dog,Great Pyrenees Mix,White,Injured,150,5,0.06458333333333334,0
69075,A752504,Partner,Intact Female,21,"(-0.025, 2.5]",2017-07,Cat,Domestic Shorthair Mix,White/Black,Normal,14,6,12.139583333333333,0
72025,A756770,Partner,Intact Male,2190,"(5.0, 7.5]",2017-09,Dog,Dachshund Mix,Black/Brown,Injured,1825,8,7.169444444444443,0
31602,A701612,Partner,Intact Female,30,"(-0.025, 2.5]",2015-05,Cat,Domestic Shorthair Mix,Calico/Black,Normal,28,5,5.075,0
64257,A745645,Rabies Risk,Unknown,1460,"(2.5, 5.0]",2017-03,Other,Bat Mix,Brown,Normal,1460,3,0.02013888888888889,0
45265,A719540,In Foster,Intact Male,4,"(-0.025, 2.5]",2016-01,Cat,Domestic Longhair Mix,Blue Tabby/White,Normal,0,1,3.9305555555555554,0
71112,A755429,Partner,Spayed Female,1825,"(2.5, 5.0]",2017-08,Dog,Sussex Span Mix,Chocolate,Normal,1825,8,4.243055555555555,0
37473,A708986,Partner,Intact Female,240,"(-0.025, 2.5]",2015-08,Cat,Domestic Shorthair Mix,Brown Tabby,Normal,210,8,5.875000000000001,0
22825,A689652,Foster,Neutered Male,365,"(-0.025, 2.5]",2014-11,Dog,Collie Smooth Mix,Red Tick,Normal,365,10,26.913888888888888,1
41788,A714705,Partner,Intact Male,14,"(-0.025, 2.5]",2015-10,Cat,Domestic Medium Hair Mix,Black/Black Tabby,Nursing,14,10,0.20277777777777775,0
24725,A692219,SCRP,Spayed Female,730,"(-0.025, 2.5]",2014-11,Cat,Domestic Shorthair Mix,Calico,Normal,730,11,8.985416666666667,0
23824,A690950,Foster,Spayed Female,1825,"(2.5, 5.0]",2015-06,Dog,Boxer/Labrador Retriever,Black/Brown,Injured,1460,10,223.93819444444443,1
7155,A668381,Partner,Neutered Male,730,"(-0.025, 2.5]",2013-12,Dog,Chinese Sharpei Mix,Black,Normal,730,12,26.18125,0
27918,A696564,Partner,Spayed Female,1825,"(2.5, 5.0]",2015-05,Dog,Labrador Retriever Mix,Black/White,Normal,1825,2,93.99166666666667,0
7233,A668511,Partner,Neutered Male,365,"(-0.025, 2.5]",2014-01,Dog,Pit Bull Mix,Black,Normal,365,12,27.71736111111111,0
70019,A753754,Partner,Intact Male,1095,"(2.5, 5.0]",2017-07,Dog,Pit Bull Mix,Blue/White,Normal,1095,7,10.81875,0
57085,A735438,Partner,Spayed Female,210,"(-0.025, 2.5]",2016-11,Cat,Domestic Shorthair,Brown Tabby,Normal,180,9,52.5,0
32913,A703239,Partner,Intact Female,1095,"(2.5, 5.0]",2015-05,Dog,Chihuahua Shorthair Mix,Black/White,Normal,1095,5,4.997222222222222,0
54082,A731630,SCRP,Neutered Male,365,"(-0.025, 2.5]",2016-08,Cat,Domestic Shorthair Mix,Orange Tabby,Normal,365,8,0.7500000000000001,0
57395,A735825,Suffering,Unknown,1095,"(2.5, 5.0]",2016-10,Cat,Domestic Shorthair Mix,White/Blue,Injured,1095,9,1.3395833333333331,0
22400,A689092,SCRP,Intact Male,730,"(-0.025, 2.5]",2014-09,Cat,Maine Coon Mix,Brown Tabby/White,Normal,730,9,0.81875,0
57103,A735462,Partner,Spayed Female,1095,"(2.5, 5.0]",2016-10,Cat,Domestic Shorthair Mix,Orange Tabby,Normal,1095,9,9.379861111111113,0
15784,A680478,Partner,Spayed Female,730,"(-0.025, 2.5]",2014-09,Cat,Domestic Longhair Mix,Blue/White,Normal,730,6,102.14583333333331,0
67911,A751003,Rabies Risk,Unknown,730,"(-0.025, 2.5]",2017-06,Other,Raccoon Mix,Black/White,Sick,730,6,0.9222222222222224,0
78474,A766711,Partner,Intact Female,30,"(-0.025, 2.5]",2018-02,Dog,Australian Shepherd Mix,Cream,Normal,30,2,0.20208333333333334,0
